student_code,age,bac_level,subject,eval_type,mark
f5faf1f52ba7a61bdb46fd6b722cd8913002de6f415a7990b170fd6b5f644568,17.75,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
f5faf1f52ba7a61bdb46fd6b722cd8913002de6f415a7990b170fd6b5f644568,17.75,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
49b4ce71b6b20afb7b44027138e8a0a6cbabceeac954928b16be47f912b3bbf2,18.416666666666668,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,9.0
49b4ce71b6b20afb7b44027138e8a0a6cbabceeac954928b16be47f912b3bbf2,18.416666666666668,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
49b4ce71b6b20afb7b44027138e8a0a6cbabceeac954928b16be47f912b3bbf2,18.416666666666668,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,12.0
49b4ce71b6b20afb7b44027138e8a0a6cbabceeac954928b16be47f912b3bbf2,18.416666666666668,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
49b4ce71b6b20afb7b44027138e8a0a6cbabceeac954928b16be47f912b3bbf2,18.416666666666668,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
621b4727d071ec80d34c41ce33081ccf425c71f6a9441b2423e2612c36d928ee,17.416666666666668,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,15.0
621b4727d071ec80d34c41ce33081ccf425c71f6a9441b2423e2612c36d928ee,17.416666666666668,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
621b4727d071ec80d34c41ce33081ccf425c71f6a9441b2423e2612c36d928ee,17.416666666666668,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,4.75
621b4727d071ec80d34c41ce33081ccf425c71f6a9441b2423e2612c36d928ee,17.416666666666668,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
621b4727d071ec80d34c41ce33081ccf425c71f6a9441b2423e2612c36d928ee,17.416666666666668,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
0a58806653b783522bb901a7fa5345a0ca1ab0eb10fc1062a68a88c16808ec41,16.916666666666668,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,15.75
0a58806653b783522bb901a7fa5345a0ca1ab0eb10fc1062a68a88c16808ec41,16.916666666666668,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
0a58806653b783522bb901a7fa5345a0ca1ab0eb10fc1062a68a88c16808ec41,16.916666666666668,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,6.0
0a58806653b783522bb901a7fa5345a0ca1ab0eb10fc1062a68a88c16808ec41,16.916666666666668,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
0a58806653b783522bb901a7fa5345a0ca1ab0eb10fc1062a68a88c16808ec41,16.916666666666668,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
d13dbebf3902775b16804852786e57b1066a61e97f7f02e726c22a9b2b68474d,17.0,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,12.5
d13dbebf3902775b16804852786e57b1066a61e97f7f02e726c22a9b2b68474d,17.0,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
d13dbebf3902775b16804852786e57b1066a61e97f7f02e726c22a9b2b68474d,17.0,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,7.25
